(631.0, 42.0)
(697.0, 43.0)
(718.0, 44.0)
(694.0, 47.0)
(688.0, 51.0)
(631.0, 54.0)
(675.0, 80.0)
(695.0, 82.0)
(387.0, 93.0)
(689.0, 96.0)
(826.0, 103.0)
(877.0, 148.0)
(878.0, 161.0)
(670.0, 176.0)
(579.0, 196.0)
(919.0, 198.0)
(870.0, 219.0)
(557.0, 233.0)
(567.0, 234.0)
(951.0, 244.0)
(905.0, 276.0)
(942.0, 296.0)
(705.0, 311.0)
(758.0, 311.0)
(947.0, 311.0)
(959.0, 315.0)
(752.0, 319.0)
(789.0, 324.0)
(880.0, 325.0)
(857.0, 328.0)
(149.0, 339.0)
(338.0, 340.0)
(343.0, 342.0)
(352.0, 345.0)
(356.0, 347.0)
(937.0, 347.0)
(366.0, 351.0)
(926.0, 351.0)
(928.0, 352.0)
(394.0, 362.0)
(832.0, 365.0)
(1040.0, 374.0)
(987.0, 379.0)
(1022.0, 388.0)
(830.0, 421.0)
(926.0, 423.0)
(152.0, 431.0)
(946.0, 438.0)
(965.0, 441.0)
(32.0, 443.0)
(914.0, 456.0)
(998.0, 464.0)
(722.0, 465.0)
(757.0, 478.0)
(747.0, 482.0)
(761.0, 482.0)
(792.0, 490.0)
(828.0, 504.0)
(401.0, 524.0)
(405.0, 526.0)
(411.0, 529.0)
(419.0, 531.0)
(429.0, 535.0)
(877.0, 536.0)
(833.0, 541.0)
(402.0, 542.0)
(842.0, 545.0)
(397.0, 546.0)
(847.0, 547.0)
(395.0, 551.0)
(857.0, 551.0)
(861.0, 552.0)
(496.0, 554.0)
(871.0, 556.0)
(396.0, 558.0)
(875.0, 558.0)
(391.0, 559.0)
(475.0, 561.0)
(885.0, 562.0)
(394.0, 563.0)
(983.0, 563.0)
(476.0, 564.0)
(482.0, 564.0)
(393.0, 565.0)
(364.0, 566.0)
(384.0, 567.0)
(529.0, 567.0)
(475.0, 568.0)
(361.0, 570.0)
(369.0, 572.0)
(541.0, 572.0)
(1035.0, 572.0)
(517.0, 573.0)
(913.0, 573.0)
(528.0, 576.0)
(977.0, 577.0)
(928.0, 579.0)
(178.0, 580.0)
(930.0, 580.0)
(574.0, 585.0)
(375.0, 587.0)
(564.0, 587.0)
(1029.0, 589.0)
(571.0, 590.0)
(923.0, 590.0)
(957.0, 591.0)
(387.0, 593.0)
(392.0, 593.0)
(573.0, 594.0)
(926.0, 594.0)
(352.0, 595.0)
(403.0, 596.0)
(971.0, 596.0)
(580.0, 597.0)
(973.0, 597.0)
(975.0, 598.0)
(363.0, 599.0)
(591.0, 599.0)
(404.0, 600.0)
(593.0, 602.0)
(986.0, 602.0)
(603.0, 605.0)
(1117.0, 605.0)
(601.0, 608.0)
(1004.0, 609.0)
(598.0, 610.0)
(608.0, 611.0)
(1130.0, 611.0)
(461.0, 612.0)
(458.0, 613.0)
(1109.0, 621.0)
(331.0, 622.0)
(645.0, 623.0)
(595.0, 630.0)
(283.0, 633.0)
(597.0, 634.0)
(665.0, 637.0)
(600.0, 639.0)
(597.0, 641.0)
(667.0, 641.0)
(684.0, 641.0)
(318.0, 644.0)
(272.0, 645.0)
(705.0, 648.0)
(1216.0, 648.0)
(1218.0, 649.0)
(707.0, 650.0)
(1221.0, 650.0)
(685.0, 651.0)
(306.0, 653.0)
(679.0, 653.0)
(299.0, 656.0)
(1235.0, 656.0)
(260.0, 658.0)
(578.0, 658.0)
(708.0, 658.0)
(966.0, 658.0)
(969.0, 658.0)
(268.0, 659.0)
(274.0, 660.0)
(727.0, 660.0)
(580.0, 661.0)
(955.0, 661.0)
(958.0, 661.0)
(964.0, 661.0)
(272.0, 662.0)
(575.0, 662.0)
(698.0, 663.0)
(964.0, 664.0)
(908.0, 665.0)
(705.0, 666.0)
(902.0, 666.0)
(295.0, 667.0)
(910.0, 667.0)
(951.0, 667.0)
(953.0, 668.0)
(248.0, 670.0)
(963.0, 670.0)
(902.0, 671.0)
(249.0, 672.0)
(910.0, 673.0)
(959.0, 673.0)
(817.0, 674.0)
(928.0, 674.0)
(756.0, 675.0)
(813.0, 676.0)
(958.0, 676.0)
(901.0, 678.0)
(907.0, 679.0)
(909.0, 679.0)
(959.0, 679.0)
(829.0, 680.0)
(925.0, 680.0)
(398.0, 681.0)
(817.0, 681.0)
(274.0, 683.0)
(814.0, 683.0)
(821.0, 683.0)
(752.0, 685.0)
(816.0, 685.0)
(384.0, 687.0)
(386.0, 687.0)
(416.0, 688.0)
(419.0, 692.0)
(271.0, 693.0)
(260.0, 695.0)
(421.0, 695.0)
(766.0, 696.0)
(262.0, 697.0)
(905.0, 697.0)
(1343.0, 701.0)
(218.0, 702.0)
(379.0, 704.0)
(259.0, 705.0)
(1348.0, 705.0)
(383.0, 706.0)
(380.0, 707.0)
(1356.0, 707.0)
(211.0, 710.0)
(206.0, 713.0)
(252.0, 713.0)
(201.0, 717.0)
(414.0, 721.0)
(417.0, 722.0)
(250.0, 724.0)
(411.0, 725.0)
(245.0, 726.0)
(500.0, 726.0)
(415.0, 727.0)
(1370.0, 727.0)
(247.0, 728.0)
(202.0, 731.0)
(361.0, 731.0)
(250.0, 732.0)
(1368.0, 732.0)
(1365.0, 733.0)
(1385.0, 733.0)
